group_name,message,comment,ex_message,name
Workplace Admins Community,1032,Сообщения техподдержки,"There are two issues that have cropped up this week which I'd really like Workplace to consider please:

Firstly, the ability for users and Admins to be able to delete comments in Chat in the same way that posts can be deleted.

Secondly, to have the option for anyone to post in a Group but for Admins only to comment.  We have an Ask HR Group where questions can be posted but we'd like only our Admins who are in our HR team, to respond. There are many responses being posted by well-meaning colleagues but they're not always correct.

Thank you.",Workplace Admins Community
4. ДАЙДЖЕСТЫ,95,Описание содержания приклепляемых дайджестов,"Добрый вечер!

Интересно, что уже в Техасе приняли законопроект о запрещении использование ""мясо"", ""говядина"" и т.д. на растительных продуктах и продуктах клеточного происхождения, а Impossible Food сертифицировали свое растительное мясо как ""Детский продукт"" и теперь включают в рацион детей в школьных столовых - это маленький спойлер)) 

Также много всего интересного читайте в дайджесте во вложении)",4. ДАЙДЖЕСТЫ
Концепции и цели инновационной деятельности,93,Краткие сообщения о новостях и идеях,"Добрый вечер, в преддверии сертификации Фосфолипазы А2 по «Халяль», расскажу, что же это значит.

Сертификация «Халяль» (Halal) - так называется процедура освидетельствования соответствия заданным требованиям, оговоренным в стандарте исламской религиозной организации Совет муфтиев России «Халяль – ППТ – СМР», продукции в виде сырья, специй, добавок, а также средств, используемых для производства и помещений, и подтверждения документальным путем с участием третьей стороны – Международного центра стандартизации и сертификации Халяль.

С арабского языка слово «халяль» или «халал» переводится как «разрешено». В исламской терминологии оно имеет более широкое значение: это чистота, но не только в питании, но и в одежде, поведении, способе зарабатывания денег.

С помощью данной сертификации в условиях рыночной экономики производитель имеет возможность гарантировать соответствие своих товаров требованиям.

Получая такой сертификат, изготовитель или производитель получает свидетельство, что продукция, которая отмечена знаком Халяль, в своем составе не имеет компонентов, запрещенных для мусульман исламской религией, соответствуя всем канонам Ислама. Сертификат Международного Центра стандартизации и сертификации Халяль Совета Муфтиев России – это гарант соответствия стандарту на территории России и признанный знак соответствия этому стандарту за рубежом, поскольку центр стандартизации – член Всемирного Совета Халяль и имеет аккредитацию Министерства окружающей среды и водных ресурсов Объединенных Арабских Эмиратов.

Продукция, имеющая сертификат, пользуется доверием потребителей. Сертифицированные центром производители представлены в реестре, который размещен на официальном сайте центра.",Концепции и цели инновационной деятельности
В кругу Инновационного центра,36,Знакомство с новыми сотрудниками. Краткое описание БИО,"Добрый день, мы начинаем новую рубрику публикаций в социальной сети - #Карьерныйпрорыв. Сегодня я расскажу вам про Смирнову Иру  и её историю успеха в Инновационном центре.

Ира не сразу попала к нам в Инновационный центр, сначала она поработала несколько месяцев на 4 разных местах, и только один раз официально 😅. На каждом месте она понимала, что ни о каком развитии речи и быть не может, поэтому продолжала искать 🔎 «своё место». В конце концов в 2019 году она подала анкету в Учебный центр, и буквально через неделю её пригласили на стажировку Лаборантом 3 разряда 👩‍🔬 в Инновационный центр. После она прошла стажировку и через несколько дней ей позвонили и пригласили на работу.

Так как она училась (да и учится до сих пор) на заочной форме на Технолога растительного сырья, то каких-то практических навыков Лаборанта у неё ещё не было, из-за чего она сильно переживала. Поэтому ей пришлось в ускоренном темпе не только учить нормативную документацию📄 по плану формальной ассимиляции, но и обучаться различным методам проведения анализов 🧪. Долгое время она работала лаборантом, но это было до тех пор, пока не наступило 23 февраля 2021 года.

В это время в Инновационном центре был запущен проект «Растительные белки» 🌻, и в него срочно требовались люди под руководство Марьи Ильиничны. Поэтому от каждой лаборатории требовались лаборанты, которые смогут помочь в развитии проекта. Ира рассказывает о том моменте следующими словами: «К нам пришла Валя и спросила: «Девочки, нужна помощь». Все как-то промолчали и… я сказала: «Давайте я, мне интересно». С этого момента всё и началось.

В первый же день участия в проекте её охватил ещё больший интерес 🔥, из-за чего следующие дни она ждала, когда её снова позовут. Поэтому когда Марья Ильинична предложила ей остаться работать вместе с ней, она с радостью согласилась😄.

Многие не понимали, как она там работала, ведь другие не соглашались работать ⛔️ с Марьей Ильиничной ни при каких условиях. А ей было просто интересно, она получала настоящее удовольствие от работы. Она пыталась 🤔 понять где и что не так в технологии, почему не получается целевой продукт.

В итоге 9 марта она получила повышение 📈 до Инженера-химика в Лаборатории растительных белков. За такой малый срок ⏳ она смогла значительно продвинуться по карьерной лестнице.

Можно назвать это удачей , но суть этой истории в другом. Ира смогла стать больше чем лаборантом не из-за счастливого совпадения, а из-за того, что ❗️ она не побоялась ❗️принять участие в новом «неизведанном» проекте. А её желание разобраться в технологии, найти причину, из-за которой не получается продукт, даёт ей силы ⚡️ двигаться дальше.",В кругу Инновационного центра
Дайджесты,32,Описание содержания приклепляемых дайджестов,"Еженедельный дайджест ""Ароматизаторы"", содержит следующие новости:
1. Givaudan представляет технологию ароматизации текстурированного растительного белка 🌱
2. Yasso добавляет аромат торта ко дню рождения в ассортимент замороженных йогуртовых батончиков 🎂
3.Компания Food Union запускает дуэт вкусовых вариаций мороженого вдохновленных вкусами коктейлей 🍦
4.Glaswegin представляет первый ароматизированный джин 🍸

5. Nestlé и Starbucks расширяют ассортимент At-Home новым фирменным шоколадом Starbucks ☕️

Всем желаю занимательного чтения и хронически хорошего настроения!!!",Дайджесты
7. ТЕКУЩАЯ ДЕЯТЕЛЬНОСТЬ НИУМД,30,Новости про аттестацию сотрудников. Посты за жизнь - размышления,"Пост ""про жизнь"".
Этот пост я печатаю не глядя на клавиатуру. Еще пару месяцев назад это казалось невозможным. Но сейчас это так. И может быть пока у меня это получается не идеально, но все же показатель достигнут. И теперь вслепую (ну, немного подглядывая😉) я печатаю быстрее, чем делал это глядя на клавиатуру несколько месяцев назад. Формирования навыка - дело непростое. В начале пути я испытывал прямо-таки физический дискомфорт от того, что пальцы должны бить по тем клавишам, по которым нужно, а не по которым привыкли. Но как я убеждаюсь не впервые, наш мозг пластичен, готов формировать новые связи. Ему нужно только помочь)) Главное в этом деле не унывать)

Теперь новые вызовы. Назовем их тройным ударом. К Новому году я должен весить 86 кг, печатать 185 символов вслепую и соцсети, за которые я отвечаю будут выполнять свою функцию. Ставки те же.",7. ТЕКУЩАЯ ДЕЯТЕЛЬНОСТЬ НИУМД
Есть новость!,29,Поздравления с ДР. Объявления от профсоюза,"# **Паломнические поездки по Святым местам!**🕌

Всем доброго времени суток👋

**С 17 по 19 сентября 2021г**. 📅Профсоюз ГК «ЭФКО» организует для членов Профсоюза работников Компании «ЭФКО» паломническую поездку по маршруту **«Дивеево Санаксары».**

Стоимость поездки (с учетом неиспользованной годовой компенсации Профсоюза) составит ***1200 рублей.***💰

В стоимость входит: проезд автобусом 🚌(туда и обратно).

Выезд из г. Алексеевка от остановки на рынке в ⏰18:30 17.09.2021.

Ориентировочное время возвращения домой до ⏰12:00 19.09.2021 г.

# **и это еще не все**☝️**......**.

**С 24 по 26 сентября 2021г**. 📅Профсоюз ГК «ЭФКО» организует для членов Профсоюза работников Компании «ЭФКО» паломническую поездку в **Храм Христа Спасителя и Покровский монастырь святой Матроны в Москве.**

Стоимость поездки (с учетом неиспользованной годовой компенсации Профсоюза) составит ***1000 рублей.***💰

В стоимость входит: проезд автобусом 🚌(туда и обратно).

Выезд из г. Алексеевка от остановки на рынке в ⏰20:00 24.09.2021.

Ориентировочное время возвращения домой в ночь с 25 по 26.09.2021 г.

**Для оформления поездки необходимо обратиться в Профсоюз ГК «ЭФКО» (ул.Фрунзе,1). При себе иметь паспорт и наличные деньги.**

**Для предварительной брони прошу обращаться ко мне!**☎️",Есть новость!
11. Я и Мир Вокруг,27,"Размышления, идеи","**Всем здравствуйте. В начале недели занималась разработкой выделителя для йогуртов Liberty для проведения эксперимента с выбытием. Из задачки, с которой я планировала справиться за пару часов, получилось целое недельное приключение, с полным спектром эмоций - от вдохновения и радости до полнейшего отчаяния, и обратно. Выделитель готов и теперь будет мне напоминать о том, что унывать - значит, лишать ресурсности себя и отбирать эмоции окружающих. А это - для нашего управления - жирная красная линия)**",11. Я и Мир Вокруг
Корпоративная культура,23,"Программы развития персонала, идеи","Всем привет!👋

Я в своей работе чаще остальных вижу безответственное отношение к материальным активам и его последствия, которые выражаться в части:

1. Безответственности при закреплении материальной ответственности 📄;

2. Безответственности в обеспечении сохранности переданного имущества 🐘🔨🧱🔬;

3. Безответственности в обеспечении точности показаний средств измерений ⏳;

4. Безответственности в обеспечении работоспособности материальных активов 🛠;

5. Безответственности в своевременности предупреждения выхода из строя материальных активов за счет несвоевременного проведения ППР.

Сегодня хочу с вами начать беседу с самого основного, задающего весь контекст ☝️ отношения к материальным активам – закрепления материально ответственности 💵🙋.

Каждый из нас сталкивался с ситуациями, когда так или иначе отсутствие «хозяина» закрепленного за какой-то материальный объект, приводит к его практически полному уничтожению 🤬. Все мы понимаем, что если не подвести человека к какой-то вещи и не сказать, что с сегодняшнего дня ты за нее отвечаешь, и не взять с него подпись на Акте, то заботиться об этой вещи не будет никто и в скором времени она превратиться в бесполезную, неработоспособную груду металла, портящую опрятность лаборатории 💩. А по сути это же ресурс, от которого напрямую зависит эффективность реализации целей лаборатории и всего проекта в целом 📉📉📉

Даже если у вас внутри не сжимается все 🥺🥺🥺от перспектив невозмоности реализовать «общее дело», то тогда напомню эгоистичную сторону вопроса важности корректного закрепления материальной ответственности: каждый МОЛ (материально ответственное лицо) отвечает за сохранность переданных ему материальных объектов размером их стоимости 💸💸💸. Так гласит закон РФ!☝️ Т.е. если я сломаю магнитную мешалку стоимостью 50 тыс.рублеей, то из моей зарплаты будут делать удержания до тех пор, пока я не компенсирую компании размер ее стоимости. В принципе тоже стимулирует к обеспечению «заботы» о ней и написанию Акта 📄🧾📑при передаче в пользование другому МОЛ.

Но на практике я часто сталкиваюсь с очень интересными моментами при закреплении и передаче материальной ответственности, обусловленных обыкновенным незнанием основных правил передачи материальной ответственности и ответственности за их нарушение 🤷🤦.

Бывают такие ситуации, когда заходишь в лабораторию, а там бегает человек  😱в поисках оборудования 🕵️‍♀️ , еще вчера стоявшего на столе…А бегает почему? Да потому что надо сейчас выполнять работы на нем, а его нет 😭.

Или заходишь проверять реестр оборудования, просишь показать анализатор влажности. А тебе в ответ: «Да он стоит в другой лаборатории. Он не на ком ни числится» 😡 (расскажу у вам в следующих статьях, почему этого в принципе быть не может).

А может быть еще и такое, что заходишь в лабораторию, а там стоит ОНО 🛸🛸🛸…

-Откуда взялось?

- Да с завода привезли.

Соответственно на это ОНО ни за кем не закреплена ответственность (ну кроме того человека, с завода,  с которого при инвентаризации удержат недостачу в размере стоимости этого оборудования), нет ни технической документации, ни инструкций по безопасным условиям эксплуатации, ни допусков к работе ☠️…

Для того, чтобы разобраться, как правильно передавать материальную ответственность, какие оформлять документы разработан рад нормативных регуляторов 📃📄📑🧾🗓🗒, описывающих алгоритм передачи материальной ответственности за материальные активы.

Предлагаю вам краткую памятку 📕📖, которая поможет разграничить обязанности и ответственность сторон при передаче материальной ответственности, избежать ошибок при передаче материальных активов, а следовательно сэкономит ваши нервы и деньги .

Хорошего вечера и спокойного сердца вам за свои мат.активы!👣👣👣",Корпоративная культура
Программы развития и аттестация,19,"Новости аттестации, инструкции","Всем доброго пятничного вечера!👋

Неделя прошла продуктивно, было получено много допусков, но пришло время подготовиться к следующей не менее продуктивной неделе!💪

Публикую график проведения допусков к работе на оборудовании 🔬на предстоящую неделю.👩‍⚕️👨‍⚕️  Напоминаю, что в случае необходимости **переноса допуска по уважительной причине**, необходимо заблаговременно написать *Служебную записку *или оставить *Доверенность*📑",Программы развития и аттестация
5. КОНЦЕПЦИИ И ЦЕЛИ ДЕЯТЕЛЬНОСТИ,18,"Установки, идеи","Всем привет!)
Столкнулся с лекцией «Структура нейрофизиологический процессов, протекающих в мозге человека при выборе картинок для сайтов»

Вряд ли кто-нибудь задумывался, какие структуры головного мозга задействованы в такой простой, на первый взгляд, задаче. Как оказалось, во время поиска и подбора картинок, в нашем мозге, образ картинки вызывает ассоциации с определенной эмоциональной окраской, за счет пережитого опыта. Также они могут быть разными по эмоциональной силе. Не мало важную роль играет эмоциональная значимость поставленной перед нами задачи. Если она имеет низкую значимость, то гипоталамус вырабатывает меньшее количество нейропептидов, тем самым образ будет иметь недостаточную итоговую эмоциональную окраску. Для успешной работы необходима выработка именно позитивных нейропептидов.

Для меня это стало открытием.",5. КОНЦЕПЦИИ И ЦЕЛИ ДЕЯТЕЛЬНОСТИ
6. КОРПОРАТИВНАЯ КУЛЬТУРА,16,"Установки, идеи","Доброго утра всем! на одном из совещаний Валерий Николаевич говорил про ритуалы, с помощью которых некоторые племена предопределяют модель жизни (и в какой-то степени - судьбу) человека. Ниже ссылка на статью про них. Чтение бодрит сильнее чем кофе)) Можно составить рейтинг ""ужасности"" - у меня есть однозначный фаворит в этом  рейтинге)

#УМЕЙДУМАТЬ: когда про племена говорим - кажется, что это совсем про что-то далекое, страшные сказки. А в современном обществе, и в обществе модерна есть яркие обряды инициации? кто, что может вспомнить?

Ссылка на статью: https://zen.yandex.ru/media/biletikaero/neveroiatnye-obriady-iniciacii-5f3d16de8fb19a32ac521adc",6. КОРПОРАТИВНАЯ КУЛЬТУРА
5. КОНЦЕПЦИИ И ЦЕЛИ НИУМД,13,"Установки, идеи","Как мы уже думаю убедились, универсальные учебные программы работают не очень успешно. Выход ""годных"" слишком мал. Поэтому научно-методическая мысль пошла по пути выявления проблем, которые мешают конкретному человеку быть эффективным в сложных видах деятельности, чтобы затем эти индивидуальные проблемы направленно решать. Предлагаю ознакомиться с учебным материалом о том, от каких факторов зависит работа нашего воображения, образного интеллекта, ЭЧВ и ЭЧМ.",5. КОНЦЕПЦИИ И ЦЕЛИ НИУМД
Первая помощь начинающим,12,"Подбадривающие сообщения для сотрудников, слова поддежки, новости компании","Добрый день, друзья!☀️

Одна из самых нелюбимых и постоянно оттягиваемых всеми задач - написание служебных записок📝. Почему многие так не любят это дело? Порой кажется, что это - бесполезная ""бумажка"", но на самом деле служебная записка - это закрепленная договоренность и основание для выполнения дальнейших работ, именно поэтому мы с вами будем учиться быстро и качественно заполнять служебные записки, чтобы потом вы их щелкали как орешки 😁🌰🥜

Начнем мы с **предоставления Пользователю доступа к формам СЭДО**.

Для того, чтобы вы могли скачать нужный вам документ, к нему необходимо получить доступ. Сделать это просто:
1. ⬇ [Скачиваем шаблон СЗ из системы](https://l.workplace.com/l.php?u=https%3A%2F%2Fsed.efko.ru%2Fnormative-documents%2Findex&h=AT0Vmb3JtaO-VlLtm0o-onQbxz4Nx3VAiPdhaSXR0KyEcsd1CRsU-pJ8AX7E_ZpmPwgs5KSILSgZALLMpInbs-sV4GH5iwLk2GjBuYMRQgyFZeeL2LiSCZA_8pXsrRipUc1griDHJojUTk0H&__tn__=-UK-R&c[0]=AT2fkjsI8T3HhT9ZkZPsdTDRL-A9Hoi8nQTqpEWRGLNL0IfRleONCkvTVRNePk2nCLqQzUGfUoS_ctmcSnx11UASdRr6IXlXnXyJu3yT0NfHr-qKrrlxdasjQjejxU86nePN1hdewNgF970DLHvLnWntJ8ZGWrl__Gl78pOT1Qyskxa4MqBzA0hY0OmQP5BAL8WeHY06KzfnI7lHu28) (раздел НР)
2. Заполняем данные Пользователя 👤, которому необходимо предоставить доступ к формам - ФИО, логин, организация и должность
3. Заполняем данные форм 📂(их вы можете найти, нажав на значок ""Глазик"" (просмотр) в поле формы)
4. Согласовываем СЗ 🖌с непосредственным руководителем, руководителем направления (Исполнительный директор, Директор по стратегическому менеджменту, Директор по инновациям) и Руководителем Службы контроля общекорпоративных норм
При согласовании настоятельно рекомендую пользоваться системой WSSD 💻- это и проще, и удобнее, да и потеряться электронный документ не может 😉. Также в рассылку 📤 ставьте администратора форм СЭДО, к которым требуется предоставление доступа (в ИЦ это **[Карина Сподина](https://icbirucnt686.workplace.com/profile.php?id=100053467892894)**)
Если будут возникать какие-то вопросы - смело обращайтесь к Карине, она вам обязательно поможет",Первая помощь начинающим
